Cell_ID,User_ID,Channel_ID,Cell_Type,Carrier_Frequency_GHz,Bandwidth_MHz,Modulation_Scheme,Transmission_Power_dBm,Interference_Level_dB,Power_Consumption_Watt,Achieved_Throughput_Mbps,Energy_Efficiency_Mbps_Watt,Network_Latency_ms,Packet_Loss_Ratio,Signal_to_Noise_Ratio_dB,Resource_Utilization,User_Traffic_Demand_Mbps,QoS_Satisfaction,User_Mobility_kmh,Handover_Count,Optimized_Power_dBm,Reward_Score,Success_Rate,Optimized_Action,Location_X,Location_Y,Location_Tag
11,1961,1,Macro,88.94553413,20,16-QAM,34.7814156,-91.20264299,38.89215176,228.6061644,5.877951054,15.84987308,0.05642366,8.753996725,56.95998875,92.02636165,92.90428012,5.719521146,5,32.59049622,0.409867213,97.29374749,Reduce_Power,501.3,780.0,residential
24,1936,4,Pico,99.92471909,20,256-QAM,15.51688068,-83.72495486,29.29287325,893.0729414,30.48772081,4.565236648,0.037330768,3.64938485,89.94663039,354.1602267,87.23759763,66.69304651,3,14.47806901,0.873778998,95.09118777,Maintain_Power,746.9,839.8,stadium
36,1428,2,Macro,48.18112455,80,256-QAM,32.54697961,-64.63053798,32.64211278,986.857815,30.23265748,44.36444168,0.074045836,16.7171168,58.82526983,10.27028017,71.80793439,14.77298274,0,30.88088101,0.13281514,97.9968305,Maintain_Power,253.1,839.8,residential
40,1782,7,Micro,35.3131171,200,QPSK,32.82778053,-51.30610125,28.83409618,259.3138373,8.993305554,7.009564684,0.011436298,20.97344492,98.68902942,186.6417377,70.35471718,31.67169487,9,28.10843299,0.082915277,79.51370278,Reduce_Power,342.8,435.4,residential
24,1898,2,Macro,84.28098232,100,256-QAM,31.67936319,-82.87395928,49.56698455,724.7144008,14.62090961,35.14509758,0.028668646,17.5444953,75.35255812,235.6377412,70.57403323,96.48515085,0,28.92274566,0.992760199,85.79506337,Reduce_Power,746.9,839.8,stadium
3,1138,2,Macro,69.63463223,100,16-QAM,25.1790494,-73.94277573,40.62287129,510.694961,12.57161163,25.77743157,0.072760856,8.514409243,92.37580487,52.57956735,89.67947118,60.56092268,2,24.84452931,0.577203612,77.67327449,Maintain_Power,646.3,261.2,residential
22,1692,5,Micro,31.6304869,40,256-QAM,21.86616243,-87.04722023,39.00402626,701.597168,17.98781396,41.7566236,0.020716882,0.372337065,58.5277972,343.628213,88.67468757,90.22625528,7,18.50473751,0.911941768,81.75710787,Reduce_Power,564.6,342.8,residential
2,1941,4,Micro,95.95463259,80,QPSK,21.8403148,-66.22551897,33.22667574,964.572427,29.0300611,37.31075166,0.060064263,22.41583416,94.26283269,55.86467013,71.33534399,111.8160648,7,16.84711496,0.408217129,93.82468682,Reduce_Power,550.1,224.5,residential
24,1541,8,Femto,29.93176416,20,256-QAM,32.01426142,-81.6707066,28.77668147,283.3258611,9.845675271,38.22716226,0.044766325,3.865896464,54.08195984,49.53108644,73.95888438,20.53893255,1,31.17578053,0.604295284,84.28818965,Maintain_Power,746.9,839.8,stadium
44,1056,4,Macro,71.52708652,20,64-QAM,24.93690108,-75.92019133,20.51407128,742.5465222,36.19693585,21.49896761,0.020236382,14.51821475,51.14461083,187.1268828,91.6767582,31.14123295,0,21.52230179,0.694089846,73.28785506,Reduce_Power,410.0,500.4,downtown
30,1231,6,Micro,56.21923145,80,16-QAM,20.15301173,-71.60935621,40.27855667,443.5673425,11.01249347,41.86483066,0.088838271,-5.386053018,85.44802479,370.4577104,79.28769494,70.43832637,4,16.03171782,0.986112973,70.09569881,Reduce_Power,500.0,920.0,residential
38,1657,5,Micro,66.30341779,400,64-QAM,28.76409053,-65.6878835,13.53241249,656.0087722,48.4768531,5.642351904,0.043552756,19.61112504,55.32605522,482.019105,99.75056383,113.9507913,0,24.54378114,0.112738507,77.08427895,Reduce_Power,480.4,587.8,downtown
2,1434,2,Femto,40.20427887,100,QPSK,35.11033782,-96.99741694,6.644700497,412.5853967,62.09239933,22.77653178,0.059883998,28.11651362,93.29009775,389.1288275,79.37453966,93.51607198,7,31.57270118,0.124780809,75.49624237,Reduce_Power,550.1,224.5,residential
21,1383,8,Pico,76.29639034,20,64-QAM,11.84526224,-72.25494531,36.417742,711.2526204,19.5303877,49.73608898,0.025303764,7.971531897,81.0637101,235.6723218,80.07060974,76.7179917,8,7.295927737,0.523203486,93.82257653,Reduce_Power,447.2,225.0,residential
33,1559,2,Micro,96.93869637,40,256-QAM,39.16410873,-78.44179511,11.51832636,344.1265625,29.87643794,47.45761271,0.034680496,11.93430747,66.54908216,139.9356912,82.58413843,81.5008346,1,39.00366113,0.055800189,89.99885947,Maintain_Power,556.4,570.1,downtown
12,1193,9,Micro,58.84036643,100,16-QAM,12.89955819,-93.31174568,45.67217372,493.4715466,10.80464332,5.028416664,0.004898384,25.9795974,63.86373992,154.1997977,94.82968808,51.91509744,3,12.5787158,0.727479786,95.14922108,Maintain_Power,899.4,370.2,residential
22,1735,9,Macro,63.7448291,200,64-QAM,25.35214362,-89.59816658,39.68066241,711.7057085,17.93583235,29.07629387,0.048321433,21.81192832,54.0964018,145.43082,86.7187411,48.44705035,5,24.67944391,0.990755506,82.5628965,Maintain_Power,564.6,342.8,residential
44,1647,3,Femto,42.22568696,80,256-QAM,26.80628632,-55.80549544,32.100997,52.27972991,1.628601439,16.46687998,0.034484607,28.49120235,84.33584608,142.7697761,95.71737214,118.420023,6,26.58971861,0.811435778,87.50904044,Maintain_Power,410.0,500.4,downtown
25,1533,4,Macro,91.78196677,100,64-QAM,14.14632116,-56.41119954,19.12660942,334.808636,17.50486083,36.69515422,0.032940377,0.642597845,95.85138015,39.20251393,82.81621654,102.7664694,4,13.5465819,0.265808834,82.52082621,Maintain_Power,656.9,434.5,residential
49,1517,8,Pico,97.80925479,200,256-QAM,37.46781259,-98.33348728,33.70740616,550.7228556,16.33833387,37.05358425,0.088994329,8.799721106,87.83859765,114.1207245,88.24842314,91.30824712,0,33.38305931,0.799561342,76.63602774,Reduce_Power,253.1,160.2,hospital
27,1715,9,Femto,83.75856327,40,256-QAM,24.14401232,-65.52992544,26.45855104,83.39382629,3.151866712,1.004570133,0.07038699,8.225724727,80.96972241,58.42410412,70.13857954,86.36597264,6,19.6617252,0.627876295,88.92821972,Reduce_Power,580.9,460.6,downtown
42,1750,3,Macro,65.25078616,400,64-QAM,14.29361543,-72.29063434,18.10168105,706.1252033,39.0088192,42.44513986,0.045728953,8.924074157,55.93541188,8.650019374,87.26643374,68.05338185,6,12.61369655,0.119419765,81.65781635,Maintain_Power,100.6,629.8,residential
28,1184,5,Micro,96.71655866,80,QPSK,31.34837209,-53.00920784,47.52855397,815.1540869,17.15082869,11.95555268,0.019535121,26.52503076,91.38146589,146.3728394,72.41568003,39.49166789,4,26.56245106,0.56592415,77.47990061,Reduce_Power,657.2,564.6,residential
16,1871,8,Micro,35.69260421,400,16-QAM,29.90213036,-54.59971445,12.28502369,171.6940365,13.97588159,48.3294241,0.09732514,-1.779400504,98.26919571,179.3347269,75.79041262,51.94241208,1,27.80992389,0.896776602,98.15414121,Reduce_Power,221.3,527.2,residential
15,1291,3,Femto,60.36530535,20,QPSK,38.88596709,-71.02190436,38.90226872,736.128371,18.92250491,45.36613409,0.007476529,25.79589603,63.1408659,464.0795416,99.92615097,7.062901316,1,38.02606832,0.289922937,73.234413,Maintain_Power,250.0,626.0,residential
47,1334,7,Micro,64.85803371,400,64-QAM,23.24548974,-93.05225393,41.00173556,649.7381334,15.84660075,10.3422934,0.013610604,12.84507191,71.0181652,497.4367415,89.11539276,10.7170602,8,19.83898045,0.659107516,93.30390718,Reduce_Power,100.6,370.2,residential
44,1731,8,Macro,61.3856479,20,256-QAM,18.03387919,-77.00924882,47.83075737,416.7696941,8.71342452,32.18043577,0.027032154,11.47370196,50.70255469,291.8215892,96.07766129,46.13544587,8,15.93230157,0.041564732,86.48606026,Reduce_Power,410.0,500.4,downtown
3,1115,3,Femto,84.98378983,200,64-QAM,11.79982019,-63.74178165,29.72373934,173.3382507,5.83164348,15.52121399,0.095452836,6.65999306,91.59523486,450.9868382,71.71975579,13.88462455,3,11.70264952,0.834215303,92.8910902,Maintain_Power,646.3,261.2,residential
37,1824,2,Micro,74.95061972,100,256-QAM,31.99364575,-52.41316825,29.06938225,955.3295787,32.86377298,6.046222633,0.027888211,11.58576259,51.03728035,311.0218869,81.53683409,47.76909399,3,27.16186626,0.205937357,72.6961455,Reduce_Power,343.1,565.5,residential
7,1048,7,Micro,33.62604341,40,256-QAM,28.51833068,-81.80852971,46.41301441,469.3708677,10.11291496,43.82611408,0.049142632,22.13160955,74.32541604,251.3010647,95.87322785,25.60996611,6,25.52883778,0.608625236,81.71239216,Reduce_Power,778.9,524.5,residential
21,1684,9,Pico,50.33029936,200,QPSK,39.17832505,-60.7664262,41.04919667,191.8070178,4.672613189,9.860497138,0.076116473,9.689363938,78.82347344,26.1282077,82.32353493,42.00373603,4,36.11166475,0.524193442,93.88111856,Reduce_Power,447.2,225.0,residential
9,1081,1,Pico,49.76984048,40,QPSK,31.36494939,-65.83296234,39.36364158,720.9826033,18.31595285,21.62741046,0.092918563,21.0409078,52.77709606,27.07508087,77.60890559,45.50954072,0,26.45155293,0.548130313,94.45234691,Reduce_Power,689.6,706.0,stadium
39,1833,3,Femto,66.98804665,400,64-QAM,37.9948444,-96.08536114,40.51116744,611.818976,15.10247704,46.28526717,0.060509001,6.665473836,58.78339488,20.24473741,84.42960765,95.3181467,4,33.82732132,0.253736788,93.66723988,Reduce_Power,444.2,570.6,downtown
18,1332,5,Pico,46.15083974,40,16-QAM,39.74736384,-72.10115749,27.19314912,818.03601,30.08243019,4.692362728,0.03842774,-2.684164973,89.54169874,79.28975785,84.1281838,82.27570659,3,37.93403736,0.559112005,92.33046552,Maintain_Power,899.4,629.8,residential
4,1556,3,Macro,32.91265449,400,QPSK,22.85293433,-90.82455832,6.863837802,996.1357446,145.1281008,27.97864029,0.098550865,6.586506684,62.62668439,43.06649517,99.72057858,97.78840066,2,22.64379712,0.602751357,81.2979305,Maintain_Power,722.6,330.2,factory
25,1334,1,Micro,73.67988259,40,256-QAM,14.5088504,-65.82253539,13.92191976,54.41849462,3.90883553,29.03507424,0.002616263,18.93376326,86.23610824,101.3659285,80.63513062,43.78641913,0,13.39694658,0.425456698,91.4858379,Maintain_Power,656.9,434.5,residential
14,1531,7,Micro,88.67880733,80,64-QAM,15.87552331,-69.49575765,33.93464394,741.9226013,21.86327938,38.39026882,0.083217317,24.07007431,87.45936191,262.0088764,98.72040998,99.10012985,8,14.1178844,0.633253047,73.28303986,Maintain_Power,312.4,707.8,residential
9,1959,7,Micro,94.80221526,200,64-QAM,19.55125669,-51.34759542,22.82746633,989.2395802,43.33549619,41.52941262,0.027742982,20.86500784,70.36591869,254.0844277,97.36098084,113.9583818,3,14.7499894,0.191573825,74.87820557,Reduce_Power,689.6,706.0,stadium
26,1220,8,Femto,97.91595974,80,16-QAM,25.26687301,-53.23086674,32.30466118,542.8493226,16.8040556,21.78304594,0.081745181,4.978171293,53.18755447,175.3704811,83.48533223,33.29245114,2,20.82352356,0.51259526,86.19761216,Reduce_Power,555.8,429.4,downtown
2,1634,5,Femto,83.36488031,100,64-QAM,13.67259998,-99.53135832,29.82550562,718.5450337,24.09162959,37.44046899,0.016216688,13.1659537,50.54033222,334.6576597,98.34943335,86.24366813,7,13.56495895,0.716801574,86.48819191,Maintain_Power,550.1,224.5,residential
20,1745,5,Pico,34.61738455,100,QPSK,19.05153616,-95.99852849,24.73971375,446.6994098,18.05596517,45.61152654,0.034681842,4.41810654,74.6256816,199.0021624,91.8663618,6.907618685,6,14.11539797,0.367995922,84.15347001,Reduce_Power,351.5,262.6,residential
28,1732,5,Micro,88.83649864,20,256-QAM,19.23381542,-61.54328443,15.56276097,363.2059769,23.33814531,44.42704375,0.005597133,18.1798874,53.57271593,114.0189044,96.55033354,62.52555823,5,17.9482172,0.411146345,92.04998559,Maintain_Power,657.2,564.6,residential
47,1322,1,Micro,54.39696558,20,64-QAM,10.12256965,-65.71784635,37.35319509,699.4935109,18.72647064,25.58913436,0.019962226,7.458087962,86.32362482,347.6157815,96.7531343,18.76079105,5,6.245708974,0.164203978,86.91446815,Reduce_Power,100.6,370.2,residential
7,1850,5,Micro,79.47325985,20,64-QAM,20.62506219,-59.95272007,45.90703084,988.2085101,21.52629983,30.74444793,0.060279234,20.59349106,69.04119705,490.2010035,72.56382678,99.95516362,1,20.04208155,0.616449114,71.97101684,Maintain_Power,778.9,524.5,residential
44,1002,6,Micro,64.37636838,100,256-QAM,13.484566,-86.65925387,39.64836735,100.7497515,2.541081973,33.96763423,0.076150206,-9.488153697,84.16449242,406.2990589,96.90474509,49.71445193,8,12.38297993,0.123519206,96.61595354,Maintain_Power,410.0,500.4,downtown
8,1693,1,Micro,86.97406616,40,64-QAM,22.89134139,-57.53386156,10.40172063,427.9002656,41.13745033,41.1363312,0.091122679,3.60614189,70.40808507,209.9555429,84.68741831,72.51696027,0,20.3641787,0.5008082,88.84094194,Reduce_Power,751.2,623.6,residential
47,1205,7,Macro,56.3384357,400,64-QAM,15.89610212,-77.8790264,29.20773823,941.2126149,32.22476891,25.8789214,0.011968554,25.12889787,81.41680084,190.9557955,89.11106969,69.86241657,3,12.37804242,0.210421013,96.86325387,Reduce_Power,100.6,370.2,residential
35,1831,1,Micro,28.69632962,40,16-QAM,34.66342719,-86.90457577,42.59147821,121.6703096,2.856682011,6.483100946,0.014057285,2.941795492,91.65089348,24.13111363,79.01552452,12.51375451,3,32.93643315,0.194128452,82.88529986,Maintain_Power,520.4,587.7,downtown
14,1039,2,Macro,66.31860203,200,QPSK,12.41576058,-99.46961262,31.59418019,654.4239784,20.71343439,19.87978512,0.093877555,5.79057493,94.22264888,330.2509623,89.36557601,12.01715407,8,8.049483137,0.095829564,70.05509064,Reduce_Power,312.4,707.8,residential
17,1058,2,Micro,37.01808215,100,64-QAM,35.96981294,-56.43179826,24.78061224,435.8631625,17.58887788,36.28990189,0.076597466,21.62926251,50.84414206,115.1988595,70.8123536,68.58324327,2,31.26883907,0.357397877,92.88059893,Reduce_Power,230.3,424.7,residential
36,1950,5,Femto,97.37934006,400,QPSK,27.41579847,-73.23280754,17.80458574,383.1234933,21.5182481,31.56614831,0.053975146,-6.215368268,82.27528563,343.341419,81.13540484,37.79771759,8,26.80297325,0.867410627,86.9804126,Maintain_Power,253.1,839.8,residential
40,1573,7,Femto,64.049193,400,16-QAM,23.7592199,-51.23089581,19.86758378,217.3453763,10.9396985,37.92109827,0.047672557,2.475701056,78.20673122,381.2838471,88.85766538,13.36933915,1,20.16638928,0.604913006,70.58966723,Reduce_Power,342.8,435.4,residential
4,1643,1,Macro,66.07046833,400,QPSK,26.49226951,-64.26593052,15.89705735,184.57093,11.61038335,25.49773318,0.015771592,20.97869502,81.85191006,440.4990522,75.90619107,37.20031326,0,25.83271811,0.779109343,87.17838294,Maintain_Power,722.6,330.2,factory
2,1506,1,Micro,92.95219417,20,16-QAM,21.28327388,-95.97914283,13.80769031,521.1238327,37.74156438,9.545833855,0.037930134,28.28069936,52.90474689,276.3837542,90.17865032,22.8779455,6,19.57944653,0.114570773,97.932505,Maintain_Power,550.1,224.5,residential
6,1571,1,Femto,71.46847863,400,QPSK,13.82835715,-70.59044068,31.49893169,383.662841,12.18018582,6.645169392,0.037260477,21.31345516,53.494812,415.8389148,94.86645399,4.759401667,1,9.730553626,0.313314284,76.26209432,Reduce_Power,746.9,160.2,factory
42,1883,6,Femto,47.00743267,400,QPSK,32.97639447,-99.14377301,27.92231616,496.62894,17.786094,24.58183501,0.064834649,-3.103502451,74.84900506,362.9767253,71.1201182,45.58016585,0,31.29463048,0.388614096,78.4525202,Maintain_Power,100.6,629.8,residential
4,1842,2,Micro,46.50319089,100,64-QAM,37.8373477,-72.11090729,38.06748879,203.978084,5.358327816,11.08051697,0.059890496,23.40076834,52.85574559,179.7256798,88.11849117,81.68914979,8,33.30036049,0.860009101,89.48543757,Reduce_Power,722.6,330.2,factory
29,1121,1,Micro,62.11997739,40,QPSK,38.50202869,-82.48991685,18.85682918,356.6997345,18.91620967,49.13107751,0.005971103,9.031000306,88.82053926,57.6822765,87.41880624,13.58933991,7,36.44466837,0.664398288,94.62742716,Reduce_Power,590.0,499.6,downtown
18,1478,6,Femto,89.8622254,40,64-QAM,30.12134519,-67.83520826,25.73708363,996.4534941,38.7166436,10.73889563,0.084848014,21.32021872,88.62383873,124.8741235,93.46251953,70.21635026,2,28.57236315,0.490478469,89.25202673,Maintain_Power,899.4,629.8,residential
26,1618,2,Micro,84.3994299,80,64-QAM,22.3104228,-72.92128969,35.61665986,374.3901198,10.51165722,28.77243044,0.093754773,-0.425817179,55.86620254,423.066037,90.92528841,18.19781552,1,17.36480537,0.300482112,90.15110277,Reduce_Power,555.8,429.4,downtown
44,1095,6,Pico,97.16828454,80,QPSK,24.35079887,-86.93248383,48.34552033,418.5820704,8.658135596,1.086628775,0.078020838,3.64530312,72.75289473,269.5387768,83.6386009,8.20581175,0,22.14328219,0.759949618,79.80091695,Reduce_Power,410.0,500.4,downtown
34,1858,8,Micro,29.46334534,200,64-QAM,29.70897091,-91.88246954,20.69916807,29.67730162,1.433743691,13.42860903,0.017838438,26.06549158,79.74904721,334.4534511,80.63565308,11.06690107,9,26.00419096,0.888323646,70.30090989,Reduce_Power,435.4,657.2,residential
10,1413,2,Femto,44.39278124,100,QPSK,34.6921755,-79.76442568,18.41939913,387.0175389,21.01140955,13.69778587,0.017216833,26.43199123,92.97228676,404.0067163,99.56946939,25.1767996,3,31.69491104,0.536812518,95.19585945,Reduce_Power,602.4,760.6,residential
36,1234,9,Femto,30.09578579,80,256-QAM,21.23701413,-50.65818426,25.21797669,765.7574277,30.36553793,37.16138435,0.072611217,1.407023097,99.42149816,335.1862068,85.05332897,55.87318834,5,20.22458593,0.043426536,99.85733686,Maintain_Power,253.1,839.8,residential
14,1897,8,Macro,81.08201874,80,64-QAM,37.50343674,-78.21506797,37.57432836,520.4408281,13.85096822,25.28568079,0.044086762,-6.657916176,50.86106797,428.7470282,82.23787018,53.33987011,1,35.00187342,0.271851633,95.99240569,Reduce_Power,312.4,707.8,residential
31,1061,1,Pico,34.70336038,100,256-QAM,19.72816465,-62.56064311,48.26976341,660.4749622,13.68299564,1.5925007,0.077880386,27.16059761,73.81695468,47.74799142,99.79003502,57.17412774,5,19.34107102,0.745806815,81.92509059,Maintain_Power,565.5,656.9,residential
48,1255,7,Femto,31.59136017,40,256-QAM,25.92579326,-97.15132372,29.14413455,560.9866171,19.24869706,19.579376,0.007547901,2.01616213,90.1642393,452.3052044,75.41506218,45.10562148,4,22.38206704,0.387602213,80.5546598,Reduce_Power,479.6,412.3,downtown
15,1560,6,Pico,66.68708774,200,64-QAM,38.840854,-81.05671178,41.55981082,114.4361498,2.753529131,32.59427376,0.071643649,-5.195224674,89.79325528,407.2478406,75.58399898,105.6216068,0,36.24614638,0.625917446,98.79604042,Reduce_Power,250.0,626.0,residential
8,1904,6,Micro,55.27283812,200,16-QAM,38.14596746,-70.98384814,25.89799126,338.8229475,13.08298177,32.19864079,0.042409596,3.9245612,77.09168978,451.9887285,99.29417575,106.1500896,9,37.53408818,0.524521752,99.65178789,Maintain_Power,751.2,623.6,residential
14,1347,6,Femto,78.34770175,200,16-QAM,30.87235269,-62.44017433,6.793570791,697.2907512,102.6398006,3.640546996,0.003098489,1.279960976,59.11288085,366.7747179,89.73070962,78.94859187,6,27.03855508,0.90771703,88.36702677,Reduce_Power,312.4,707.8,residential
23,1670,6,Macro,61.01316977,80,256-QAM,19.73680583,-73.58081713,45.23950892,552.4595153,12.21188135,46.51673369,0.054515796,-6.777723308,77.95481645,140.8248163,85.59216959,38.88555364,6,15.7139973,0.307001701,85.43402592,Reduce_Power,519.6,412.2,downtown
40,1123,7,Femto,56.32542929,40,256-QAM,16.571051,-74.23522271,18.04451417,678.2114583,37.58546514,13.10256237,0.069903585,29.34956765,69.57771255,61.37027675,72.03327789,22.20299731,4,12.90190259,0.446058416,85.49026771,Reduce_Power,342.8,435.4,residential
21,1481,3,Macro,56.3380341,200,QPSK,12.40430066,-61.80465437,11.23995386,366.5786834,32.61389575,44.68477959,0.052823954,1.75083098,70.45582765,69.17087829,80.67583304,83.72782265,3,10.75901509,0.064779761,76.05419978,Maintain_Power,447.2,225.0,residential
16,1316,6,Pico,90.26260491,100,256-QAM,31.25963214,-84.33561413,49.82726722,201.7521935,4.049031881,11.45730785,0.012287994,0.895178521,66.43342099,251.9578549,83.00004261,119.5848293,1,27.64379062,0.804962244,91.84599521,Reduce_Power,221.3,527.2,residential
45,1503,3,Macro,54.03714945,200,64-QAM,25.10352082,-95.46947396,20.63295483,831.5158965,40.30037885,28.82466393,0.081590912,6.797221032,57.22434743,198.5135228,85.34211838,98.31943784,6,22.21497563,0.325821996,75.13203252,Reduce_Power,418.7,461.3,downtown
18,1718,7,Micro,49.33818171,20,16-QAM,27.16863082,-82.64247645,11.14422248,382.5381478,34.32614061,20.8979351,0.031708483,6.592869673,86.91195177,328.8376264,83.09700253,39.33494425,7,24.44923332,0.721933952,76.28856902,Reduce_Power,899.4,629.8,residential
47,1047,7,Micro,49.72866585,40,16-QAM,24.17176522,-92.05018823,19.01939803,658.4608841,34.62049025,29.48611487,0.092145987,7.353102132,85.42440395,254.122432,83.14326551,23.01917165,8,20.92805046,0.00303158,90.22489372,Reduce_Power,100.6,370.2,residential
24,1408,8,Micro,38.94166056,20,16-QAM,24.48839301,-51.70278979,28.12269321,387.4338993,13.77655748,25.39527789,0.090687546,26.26519874,77.14160815,67.03339871,99.84506334,98.11711387,5,21.33794922,0.867433275,96.07838891,Reduce_Power,746.9,839.8,stadium
26,1931,2,Femto,89.41235264,40,64-QAM,27.13820858,-71.12442263,8.958068893,927.9810217,103.5916371,1.100318232,0.020036245,-7.590544227,67.73978277,6.111528127,99.21972595,48.26865437,1,23.14248086,0.971960015,89.97773897,Reduce_Power,555.8,429.4,downtown
25,1135,9,Micro,35.14394194,400,QPSK,37.42786019,-77.66997843,20.86793755,992.0199215,47.53799551,18.21528637,0.047636538,27.66580183,91.13424823,68.5150073,72.58593688,70.19635991,0,32.49793729,0.469960755,84.24783218,Reduce_Power,656.9,434.5,residential
45,1200,5,Micro,93.05441607,100,64-QAM,10.88098898,-54.39740609,35.09853902,652.4395126,18.58879403,1.54964066,0.013736552,16.63681921,57.99502391,77.63577702,75.05868585,5.100570447,1,7.249601815,0.482604331,90.85719034,Reduce_Power,418.7,461.3,downtown
41,1249,9,Femto,45.54354687,400,64-QAM,34.04910339,-54.98193063,46.21694022,606.129697,13.11488156,34.4849602,0.067774699,17.90043053,71.72850414,361.3596697,98.24829502,96.76594883,2,31.84023988,0.616365587,83.64951027,Reduce_Power,419.1,539.4,downtown
29,1313,5,Pico,92.35643849,80,16-QAM,21.71548782,-79.21513605,22.88469581,842.4187098,36.81144451,42.82129445,0.085191695,-3.68591842,82.67558343,146.2141155,79.56996656,24.27108167,0,19.40714779,0.975111513,89.62623285,Reduce_Power,590.0,499.6,downtown
15,1868,7,Micro,84.10236992,80,64-QAM,32.34772802,-56.26363189,30.40539106,521.0694773,17.13740423,19.85100862,0.064837329,3.165023925,91.07490805,51.35028438,88.34620236,91.62166002,4,32.2013303,0.558579534,93.41077488,Maintain_Power,250.0,626.0,residential
45,1367,9,Micro,68.23105159,400,256-QAM,38.45578988,-96.79870334,33.622799,870.8108415,25.8994155,26.71529984,0.026047485,-7.911224534,82.48051506,378.9126047,93.93591227,79.23681532,6,37.65625952,0.073855466,70.44065592,Maintain_Power,418.7,461.3,downtown
1,1428,4,Femto,74.8797203,40,64-QAM,19.18860981,-55.71404273,8.18390657,418.8089052,51.17469287,4.226030012,0.007631474,16.12316155,55.88521187,470.5405749,84.12622087,49.49949766,8,18.04776411,0.565169204,76.56960198,Maintain_Power,500.0,80.0,residential
25,1829,2,Pico,48.7641509,200,16-QAM,12.6866391,-84.47082357,20.40012691,41.57811738,2.03813033,19.87467303,0.006926048,3.593965418,55.06464068,54.73873004,70.49856364,64.02152127,5,7.735010699,0.419047778,91.09294775,Reduce_Power,656.9,434.5,residential
7,1806,9,Pico,67.64137469,20,16-QAM,16.96895309,-71.74388578,35.79143068,927.3244343,25.90911893,7.804159915,0.061092808,12.05013954,52.52161708,481.7142414,94.84227575,64.51565946,7,13.15345958,0.760859307,82.04179447,Reduce_Power,778.9,524.5,residential
